,index,법정동코드,평당가(만원)
0,0,11110101,5.956
1,1,11110102,4.7
2,2,11110104,5.314
3,3,11110105,5.858
4,4,11110106,12.205
5,5,11110108,5.823333333333333
6,6,11110109,4.895652173913044
7,7,11110110,5.796363636363636
8,8,11110111,6.062857142857143
9,9,11110112,5.907333333333333
10,10,11110113,7.021578947368421
11,11,11110115,5.635384615384615
12,12,11110118,8.03027397260274
13,13,11110121,6.1425
14,14,11110124,8.315
15,15,11110129,6.0
16,16,11110131,4.42
17,17,11110132,10.051666666666668
18,18,11110133,7.679642857142857
19,19,11110134,9.573333333333332
20,20,11110135,9.888333333333334
21,21,11110137,11.916666666666666
22,22,11110139,4.365
23,23,11110140,5.001875
24,24,11110141,9.17
25,25,11110143,9.0
26,26,11110146,5.727647058823529
27,27,11110148,5.747692307692308
28,28,11110149,4.871250000000001
29,29,11110155,13.150454545454545
30,30,11110157,8.638260869565217
31,31,11110159,11.757575757575758
32,32,11110160,8.973181818181818
33,33,11110162,12.469714285714286
34,34,11110163,14.168571428571429
35,35,11110164,10.91
36,36,11110165,6.71
37,37,11110166,6.608505747126436
38,38,11110167,5.1000000000000005
39,39,11110168,5.761297709923665
40,40,11110169,7.1655140186915895
41,41,11110170,8.496168224299065
42,42,11110171,8.438695652173912
43,43,11110172,8.416551724137932
44,44,11110173,7.5258307210031345
45,45,11110174,4.637022653721683
46,46,11110175,7.849166666666667
47,47,11110179,4.62
48,48,11110180,11.173333333333334
49,49,11110181,3.40075
50,50,11110182,4.415333333333334
51,51,11110183,4.4648979591836735
52,52,11110184,5.747441860465116
53,53,11110185,5.601666666666667
54,54,11110186,5.547931034482758
55,55,11110187,4.570909090909091
56,56,11140112,6.601000000000001
57,57,11140113,7.640000000000001
58,58,11140121,7.095666666666667
59,59,11140122,10.322666666666667
60,60,11140123,12.5
61,61,11140125,10.457368421052632
62,62,11140128,7.359999999999999
63,63,11140129,6.807083333333334
64,64,11140133,10.116764705882353
65,65,11140134,3.9883333333333333
66,66,11140136,8.367671232876713
67,67,11140137,11.25
68,68,11140138,7.750444444444444
69,69,11140139,7.456724137931035
70,70,11140142,7.16952380952381
71,71,11140143,8.312530120481929
72,72,11140144,6.737350427350427
73,73,11140145,11.919642857142858
74,74,11140146,7.871190476190476
75,75,11140147,8.022941176470589
76,76,11140148,9.469999999999999
77,77,11140150,9.5
78,78,11140151,6.400999999999999
79,79,11140152,4.6
80,80,11140154,10.968684210526316
81,81,11140158,9.543461538461539
82,82,11140161,10.548076923076923
83,83,11140162,6.444009700889248
84,84,11140163,10.925537190082645
85,85,11140164,11.337857142857143
86,86,11140165,7.608888888888888
87,87,11140167,15.70304347826087
88,88,11140168,8.6525
89,89,11140169,7.66
90,90,11140171,7.0213829787234046
91,91,11140173,7.318461538461539
92,92,11140174,3.69
93,93,11170101,5.627714285714286
94,94,11170102,4.840660377358491
95,95,11170104,6.069024390243903
96,96,11170105,6.226666666666667
97,97,11170107,9.477739130434783
98,98,11170108,4.479568965517242
99,99,11170109,4.3609374999999995
100,100,11170110,8.366158940397352
101,101,11170111,8.138544776119403
102,102,11170112,5.527622950819672
103,103,11170113,5.8515625
104,104,11170114,5.337777777777777
105,105,11170115,2.938108108108108
106,106,11170116,4.2275
107,107,11170117,8.83741379310345
108,108,11170118,5.551904761904762
109,109,11170119,5.3777443609022555
110,110,11170120,2.30325
111,111,11170121,6.983533333333333
112,112,11170122,12.469411764705882
113,113,11170123,6.905789473684211
114,114,11170124,6.875277777777778
115,115,11170125,4.383151260504202
116,116,11170126,8.5
117,117,11170128,5.093620689655173
118,118,11170129,4.36328125
119,119,11170130,6.079715189873418
120,120,11170131,6.229414893617021
121,121,11170132,3.6197435897435892
122,122,11170133,5.1365
123,123,11170134,3.625625
124,124,11170136,4.138134328358209
125,125,11200101,5.383478260869565
126,126,11200102,6.3566666666666665
127,127,11200103,6.013246753246753
128,128,11200104,9.313873517786561
