,구분,법정동코드,자치구,동,합계,점수
0,코인세탁소,11680108.0,강남구,논현동,3.0,60
1,코인세탁소,11680106.0,강남구,대치동,2.0,30
2,코인세탁소,11680118.0,강남구,도곡동,2.0,60
3,코인세탁소,11680105.0,강남구,삼성동,2.0,40
4,코인세탁소,11680110.0,강남구,압구정동,1.0,20
5,코인세탁소,11680101.0,강남구,역삼동,5.0,80
6,코인세탁소,11680114.0,강남구,일원동,1.0,20
7,코인세탁소,11680104.0,강남구,청담동,1.0,30
8,코인세탁소,11740102.0,강동구,고덕동,1.0,10
9,코인세탁소,11740105.0,강동구,길동,4.0,90
10,코인세탁소,11740101.0,강동구,명일동,2.0,70
11,코인세탁소,11740108.0,강동구,성내동,6.0,90
12,코인세탁소,11740107.0,강동구,암사동,1.0,10
13,코인세탁소,11740109.0,강동구,천호동,3.0,60
14,코인세탁소,11305101.0,강북구,미아동,3.0,40
15,코인세탁소,11305103.0,강북구,수유동,6.0,50
16,코인세탁소,11500104.0,강서구,가양동,1.0,20
17,코인세탁소,11500106.0,강서구,내발산동,2.0,70
18,코인세탁소,11500105.0,강서구,마곡동,1.0,10
19,코인세탁소,11500109.0,강서구,방화동,2.0,30
20,코인세탁소,11500101.0,강서구,염창동,1.0,40
21,코인세탁소,11500103.0,강서구,화곡동,6.0,50
22,코인세탁소,11620101.0,관악구,봉천동,4.0,30
23,코인세탁소,11620102.0,관악구,신림동,10.0,30
24,코인세탁소,11215104.0,광진구,광장동,1.0,20
25,코인세탁소,11215103.0,광진구,구의동,3.0,60
26,코인세탁소,11215105.0,광진구,자양동,6.0,70
27,코인세탁소,11215101.0,광진구,중곡동,3.0,40
28,코인세탁소,11215107.0,광진구,화양동,1.0,50
29,코인세탁소,11530103.0,구로구,가리봉동,1.0,90
30,코인세탁소,11530107.0,구로구,개봉동,3.0,60
31,코인세탁소,11530106.0,구로구,고척동,3.0,70
32,코인세탁소,11530102.0,구로구,구로동,4.0,40
33,코인세탁소,11545101.0,금천구,가산동,4.0,80
34,코인세탁소,11545102.0,금천구,독산동,4.0,50
35,코인세탁소,11545103.0,금천구,시흥동,5.0,50
36,코인세탁소,11350103.0,노원구,공릉동,2.0,10
37,코인세탁소,11350105.0,노원구,상계동,1.0,10
38,코인세탁소,11350102.0,노원구,월계동,1.0,10
39,코인세탁소,11350104.0,노원구,하계동,1.0,30
40,코인세탁소,11320108.0,도봉구,도봉동,2.0,10
41,코인세탁소,11320106.0,도봉구,방학동,5.0,70
42,코인세탁소,11320105.0,도봉구,쌍문동,3.0,60
43,코인세탁소,11320107.0,도봉구,창동,2.0,30
44,코인세탁소,11230105.0,동대문구,답십리동,3.0,80
45,코인세탁소,11230102.0,동대문구,용두동,1.0,50
46,코인세탁소,11230106.0,동대문구,장안동,3.0,70
47,코인세탁소,11230104.0,동대문구,전농동,2.0,60
48,코인세탁소,11230107.0,동대문구,청량리동,1.0,50
49,코인세탁소,11230108.0,동대문구,회기동,1.0,70
50,코인세탁소,11590101.0,동작구,노량진동,2.0,70
51,코인세탁소,11590106.0,동작구,동작동,2.0,50
52,코인세탁소,11590107.0,동작구,사당동,1.0,20
53,코인세탁소,11590102.0,동작구,상도동,3.0,50
54,코인세탁소,11590109.0,동작구,신대방동,1.0,40
55,코인세탁소,11590105.0,동작구,흑석동,2.0,60
56,코인세탁소,11440113.0,마포구,구수동,1.0,100
57,코인세탁소,11440108.0,마포구,대흥동,1.0,80
58,코인세탁소,11440107.0,마포구,마포동,1.0,100
59,코인세탁소,11440123.0,마포구,망원동,3.0,80
60,코인세탁소,11440120.0,마포구,서교동,1.0,50
61,코인세탁소,11440125.0,마포구,성산동,3.0,60
62,코인세탁소,11440111.0,마포구,신수동,1.0,80
63,코인세탁소,11440101.0,마포구,아현동,3.0,90
64,코인세탁소,11440105.0,마포구,용강동,1.0,90
65,코인세탁소,11440122.0,마포구,합정동,1.0,40
66,코인세탁소,11410117.0,서대문구,연희동,1.0,20
67,코인세탁소,11410116.0,서대문구,창천동,2.0,90
68,코인세탁소,11650107.0,서초구,반포동,5.0,60
69,코인세탁소,11650101.0,서초구,방배동,3.0,30
70,코인세탁소,11650108.0,서초구,서초동,5.0,50
71,코인세탁소,11650102.0,서초구,양재동,2.0,30
72,코인세탁소,11650103.0,서초구,우면동,1.0,10
73,코인세탁소,11650106.0,서초구,잠원동,1.0,20
74,코인세탁소,11200110.0,성동구,금호동2가,1.0,90
75,코인세탁소,11200111.0,성동구,금호동3가,1.0,90
76,코인세탁소,11200106.0,성동구,사근동,1.0,80
77,코인세탁소,11200101.0,성동구,상왕십리동,3.0,100
78,코인세탁소,11200114.0,성동구,성수동1가,1.0,20
79,코인세탁소,11200115.0,성동구,성수동2가,2.0,50
80,코인세탁소,11200118.0,성동구,송정동,1.0,40
81,코인세탁소,11200113.0,성동구,옥수동,1.0,30
82,코인세탁소,11200102.0,성동구,하왕십리동,1.0,80
83,코인세탁소,11200107.0,성동구,행당동,2.0,70
84,코인세탁소,11200103.0,성동구,홍익동,1.0,100
85,코인세탁소,11290103.0,성북구,돈암동,2.0,80
86,코인세탁소,11290132.0,성북구,보문동3가,1.0,100
87,코인세탁소,11290138.0,성북구,장위동,2.0,60
88,코인세탁소,11290133.0,성북구,정릉동,1.0,10
89,코인세탁소,11290135.0,성북구,종암동,2.0,70
90,코인세탁소,11290136.0,성북구,하월곡동,1.0,40
91,코인세탁소,11710113.0,송파구,거여동,1.0,20
92,코인세탁소,11710106.0,송파구,삼전동,4.0,100
93,코인세탁소,11710105.0,송파구,석촌동,2.0,80
94,코인세탁소,11710102.0,송파구,신천동,1.0,10
95,코인세탁소,11710112.0,송파구,오금동,4.0,90
96,코인세탁소,11710101.0,송파구,잠실동,1.0,10
97,코인세탁소,11710109.0,송파구,장지동,1.0,20
98,코인세탁소,11710103.0,송파구,풍납동,1.0,30
99,코인세탁소,11470103.0,양천구,신월동,1.0,10
100,코인세탁소,11470101.0,양천구,신정동,3.0,20
101,코인세탁소,11560113.0,영등포구,당산동3가,1.0,90
102,코인세탁소,11560115.0,영등포구,당산동5가,1.0,90
103,코인세탁소,11560118.0,영등포구,도림동,1.0,80
104,코인세탁소,11560132.0,영등포구,신길동,2.0,30
105,코인세탁소,11560126.0,영등포구,양평동2가,1.0,100
106,코인세탁소,11560128.0,영등포구,양평동4가,1.0,90
107,코인세탁소,11170113.0,용산구,원효로2가,1.0,100
108,코인세탁소,11170109.0,용산구,청파동1가,1.0,100
109,코인세탁소,11170110.0,용산구,청파동2가,1.0,100
110,코인세탁소,11170131.0,용산구,한남동,1.0,20
111,코인세탁소,11380104.0,은평구,갈현동,3.0,80
112,코인세탁소,11380105.0,은평구,구산동,2.0,80
113,코인세탁소,11380106.0,은평구,대조동,1.0,60
114,코인세탁소,11380103.0,은평구,불광동,1.0,10
115,코인세탁소,11380109.0,은평구,신사동,2.0,60
116,코인세탁소,11380107.0,은평구,응암동,2.0,50
117,코인세탁소,11380110.0,은평구,증산동,1.0,70
118,코인세탁소,11110182.0,종로구,구기동,1.0,20
119,코인세탁소,11110173.0,종로구,명륜3가,2.0,100
120,코인세탁소,11110166.0,종로구,연건동,1.0,90
121,코인세탁소,11110164.0,종로구,종로6가,1.0,100
122,코인세탁소,11110174.0,종로구,창신동,1.0,70
123,코인세탁소,11110167.0,종로구,충신동,1.0,100
124,코인세탁소,11140162.0,중구,신당동,3.0,70
125,코인세탁소,11140139.0,중구,필동3가,1.0,100
126,코인세탁소,11260101.0,중랑구,면목동,4.0,40
127,코인세탁소,11260104.0,중랑구,묵동,1.0,30
128,코인세탁소,11260102.0,중랑구,상봉동,1.0,40
129,코인세탁소,11260106.0,중랑구,신내동,2.0,40
130,코인세탁소,11260103.0,중랑구,중화동,1.0,40
