,구분,법정동코드,자치구,동,합계,점수
0,약국,11680103.0,강남구,개포동,23.0,20
1,약국,11680108.0,강남구,논현동,57.0,80
2,약국,11680106.0,강남구,대치동,33.0,40
3,약국,11680118.0,강남구,도곡동,14.0,30
4,약국,11680105.0,강남구,삼성동,33.0,50
5,약국,11680111.0,강남구,세곡동,6.0,10
6,약국,11680115.0,강남구,수서동,14.0,30
7,약국,11680107.0,강남구,신사동,50.0,90
8,약국,11680110.0,강남구,압구정동,36.0,60
9,약국,11680101.0,강남구,역삼동,94.0,90
10,약국,11680114.0,강남구,일원동,30.0,50
11,약국,11680112.0,강남구,자곡동,6.0,10
12,약국,11680104.0,강남구,청담동,26.0,50
13,약국,11740110.0,강동구,강일동,9.0,20
14,약국,11740102.0,강동구,고덕동,11.0,10
15,약국,11740105.0,강동구,길동,23.0,70
16,약국,11740106.0,강동구,둔촌동,15.0,30
17,약국,11740101.0,강동구,명일동,23.0,70
18,약국,11740103.0,강동구,상일동,9.0,20
19,약국,11740108.0,강동구,성내동,47.0,90
20,약국,11740107.0,강동구,암사동,30.0,30
21,약국,11740109.0,강동구,천호동,63.0,80
22,약국,11305101.0,강북구,미아동,71.0,70
23,약국,11305102.0,강북구,번동,20.0,40
24,약국,11305103.0,강북구,수유동,80.0,50
25,약국,11305104.0,강북구,우이동,9.0,10
26,약국,11500104.0,강서구,가양동,8.0,20
27,약국,11500108.0,강서구,공항동,4.0,10
28,약국,11500111.0,강서구,과해동,1.0,10
29,약국,11500106.0,강서구,내발산동,22.0,60
30,약국,11500102.0,강서구,등촌동,51.0,80
31,약국,11500105.0,강서구,마곡동,22.0,20
32,약국,11500109.0,강서구,방화동,35.0,40
33,약국,11500101.0,강서구,염창동,11.0,30
34,약국,11500103.0,강서구,화곡동,85.0,60
35,약국,,고양시 덕양구,덕은동,1.0,100
36,약국,,고양시 덕양구,지축동,1.0,100
37,약국,,과천시,주암동,1.0,100
38,약국,11620103.0,관악구,남현동,5.0,10
39,약국,11620101.0,관악구,봉천동,105.0,60
40,약국,11620102.0,관악구,신림동,111.0,30
41,약국,,광명시,소하동,1.0,100
42,약국,,광명시,철산동,1.0,100
43,약국,,광명시,하안동,2.0,100
44,약국,11215104.0,광진구,광장동,6.0,10
45,약국,11215103.0,광진구,구의동,26.0,40
46,약국,11215109.0,광진구,군자동,13.0,80
47,약국,11215102.0,광진구,능동,15.0,60
48,약국,11215105.0,광진구,자양동,52.0,50
49,약국,11215101.0,광진구,중곡동,28.0,30
50,약국,11215107.0,광진구,화양동,9.0,40
51,약국,11530103.0,구로구,가리봉동,3.0,40
52,약국,11530107.0,구로구,개봉동,34.0,60
53,약국,11530106.0,구로구,고척동,11.0,20
54,약국,11530102.0,구로구,구로동,83.0,70
55,약국,11530109.0,구로구,궁동,4.0,10
56,약국,11530101.0,구로구,신도림동,17.0,50
57,약국,11530108.0,구로구,오류동,17.0,40
58,약국,11530110.0,구로구,온수동,2.0,10
59,약국,11530112.0,구로구,항동,1.0,10
60,약국,11545101.0,금천구,가산동,18.0,40
61,약국,11545102.0,금천구,독산동,27.0,30
62,약국,11545103.0,금천구,시흥동,42.0,30
63,약국,11350103.0,노원구,공릉동,42.0,30
64,약국,11350105.0,노원구,상계동,111.0,40
65,약국,11350102.0,노원구,월계동,28.0,30
66,약국,11350106.0,노원구,중계동,30.0,30
67,약국,11350104.0,노원구,하계동,14.0,30
68,약국,11320108.0,도봉구,도봉동,15.0,10
69,약국,11320106.0,도봉구,방학동,33.0,40
70,약국,11320105.0,도봉구,쌍문동,35.0,60
71,약국,11320107.0,도봉구,창동,32.0,40
72,약국,11230105.0,동대문구,답십리동,23.0,60
73,약국,11230101.0,동대문구,신설동,3.0,40
74,약국,11230102.0,동대문구,용두동,20.0,70
75,약국,11230110.0,동대문구,이문동,20.0,50
76,약국,11230106.0,동대문구,장안동,33.0,60
77,약국,11230104.0,동대문구,전농동,30.0,70
78,약국,11230103.0,동대문구,제기동,85.0,100
79,약국,11230107.0,동대문구,청량리동,8.0,30
80,약국,11230108.0,동대문구,회기동,21.0,90
