,구분,법정동코드,자치구,동,합계,점수
0,편의점,11680103.0,강남구,개포동,20.0,10
1,편의점,11680108.0,강남구,논현동,94.0,90
2,편의점,11680106.0,강남구,대치동,58.0,60
3,편의점,11680118.0,강남구,도곡동,16.0,30
4,편의점,11680105.0,강남구,삼성동,64.0,70
5,편의점,11680111.0,강남구,세곡동,4.0,10
6,편의점,11680115.0,강남구,수서동,10.0,10
7,편의점,11680107.0,강남구,신사동,57.0,90
8,편의점,11680110.0,강남구,압구정동,14.0,20
9,편의점,11680101.0,강남구,역삼동,148.0,100
10,편의점,11680113.0,강남구,율현동,2.0,10
11,편의점,11680114.0,강남구,일원동,17.0,20
12,편의점,11680112.0,강남구,자곡동,17.0,30
13,편의점,11680104.0,강남구,청담동,34.0,60
14,편의점,11740110.0,강동구,강일동,11.0,20
15,편의점,11740102.0,강동구,고덕동,18.0,20
16,편의점,11740105.0,강동구,길동,25.0,60
17,편의점,11740106.0,강동구,둔촌동,12.0,20
18,편의점,11740101.0,강동구,명일동,15.0,40
19,편의점,11740103.0,강동구,상일동,14.0,20
20,편의점,11740108.0,강동구,성내동,60.0,90
21,편의점,11740107.0,강동구,암사동,43.0,40
22,편의점,11740109.0,강동구,천호동,71.0,80
23,편의점,11305101.0,강북구,미아동,47.0,40
24,편의점,11305102.0,강북구,번동,26.0,40
25,편의점,11305103.0,강북구,수유동,67.0,40
26,편의점,11305104.0,강북구,우이동,9.0,10
27,편의점,11500104.0,강서구,가양동,10.0,20
28,편의점,11500108.0,강서구,공항동,22.0,30
29,편의점,11500106.0,강서구,내발산동,18.0,40
30,편의점,11500102.0,강서구,등촌동,53.0,70
31,편의점,11500105.0,강서구,마곡동,40.0,30
32,편의점,11500109.0,강서구,방화동,39.0,30
33,편의점,11500101.0,강서구,염창동,10.0,20
34,편의점,11500107.0,강서구,외발산동,5.0,10
35,편의점,11500103.0,강서구,화곡동,92.0,60
36,편의점,,고양시 덕양구,용두동,1.0,100
37,편의점,,고양시 덕양구,지축동,1.0,100
38,편의점,,고양시 덕양구,향동동,1.0,100
39,편의점,,과천시,주암동,1.0,100
40,편의점,11620103.0,관악구,남현동,15.0,20
41,편의점,11620101.0,관악구,봉천동,121.0,60
42,편의점,11620102.0,관악구,신림동,156.0,30
43,편의점,,광명시,소하동,1.0,100
44,편의점,,광명시,철산동,8.0,100
45,편의점,,광명시,하안동,2.0,100
46,편의점,11215104.0,광진구,광장동,10.0,20
47,편의점,11215103.0,광진구,구의동,36.0,50
48,편의점,11215109.0,광진구,군자동,16.0,80
49,편의점,11215102.0,광진구,능동,17.0,60
50,편의점,11215105.0,광진구,자양동,65.0,60
51,편의점,11215101.0,광진구,중곡동,45.0,40
52,편의점,11215107.0,광진구,화양동,25.0,80
53,편의점,11530103.0,구로구,가리봉동,15.0,100
54,편의점,11530107.0,구로구,개봉동,44.0,60
55,편의점,11530106.0,구로구,고척동,26.0,50
56,편의점,11530102.0,구로구,구로동,93.0,70
57,편의점,11530109.0,구로구,궁동,10.0,20
58,편의점,11530101.0,구로구,신도림동,18.0,50
59,편의점,11530108.0,구로구,오류동,26.0,50
60,편의점,11530110.0,구로구,온수동,9.0,40
61,편의점,11530111.0,구로구,천왕동,3.0,10
62,편의점,11530112.0,구로구,항동,5.0,10
63,편의점,,구리시,갈매동,1.0,100
64,편의점,11545101.0,금천구,가산동,86.0,90
65,편의점,11545102.0,금천구,독산동,64.0,60
66,편의점,11545103.0,금천구,시흥동,48.0,30
67,편의점,11350103.0,노원구,공릉동,43.0,20
68,편의점,11350105.0,노원구,상계동,87.0,20
69,편의점,11350102.0,노원구,월계동,29.0,30
70,편의점,11350106.0,노원구,중계동,21.0,20
71,편의점,11350104.0,노원구,하계동,10.0,20
72,편의점,11320108.0,도봉구,도봉동,24.0,10
