,법정동코드,주소,자치구,동
0,11110101,종로구청운동,종로구,청운동
1,11110102,종로구신교동,종로구,신교동
2,11110103,종로구궁정동,종로구,궁정동
3,11110104,종로구효자동,종로구,효자동
4,11110105,종로구창성동,종로구,창성동
5,11110106,종로구통의동,종로구,통의동
6,11110107,종로구적선동,종로구,적선동
7,11110108,종로구통인동,종로구,통인동
8,11110109,종로구누상동,종로구,누상동
9,11110110,종로구누하동,종로구,누하동
10,11110111,종로구옥인동,종로구,옥인동
11,11110112,종로구체부동,종로구,체부동
12,11110113,종로구필운동,종로구,필운동
13,11110114,종로구내자동,종로구,내자동
14,11110115,종로구사직동,종로구,사직동
15,11110116,종로구도렴동,종로구,도렴동
16,11110117,종로구당주동,종로구,당주동
17,11110118,종로구내수동,종로구,내수동
18,11110120,종로구신문로1가,종로구,신문로1가
19,11110121,종로구신문로2가,종로구,신문로2가
20,11110122,종로구청진동,종로구,청진동
21,11110123,종로구서린동,종로구,서린동
22,11110124,종로구수송동,종로구,수송동
23,11110125,종로구중학동,종로구,중학동
24,11110126,종로구종로1가,종로구,종로1가
25,11110127,종로구공평동,종로구,공평동
26,11110128,종로구관훈동,종로구,관훈동
27,11110129,종로구견지동,종로구,견지동
28,11110130,종로구와룡동,종로구,와룡동
29,11110131,종로구권농동,종로구,권농동
30,11110132,종로구운니동,종로구,운니동
31,11110133,종로구익선동,종로구,익선동
32,11110134,종로구경운동,종로구,경운동
33,11110135,종로구관철동,종로구,관철동
34,11110136,종로구인사동,종로구,인사동
35,11110137,종로구낙원동,종로구,낙원동
36,11110138,종로구종로2가,종로구,종로2가
37,11110139,종로구팔판동,종로구,팔판동
38,11110140,종로구삼청동,종로구,삼청동
39,11110141,종로구안국동,종로구,안국동
40,11110142,종로구소격동,종로구,소격동
41,11110143,종로구화동,종로구,화동
42,11110144,종로구사간동,종로구,사간동
43,11110145,종로구송현동,종로구,송현동
44,11110146,종로구가회동,종로구,가회동
45,11110147,종로구재동,종로구,재동
46,11110148,종로구계동,종로구,계동
47,11110149,종로구원서동,종로구,원서동
48,11110150,종로구훈정동,종로구,훈정동
49,11110151,종로구묘동,종로구,묘동
50,11110152,종로구봉익동,종로구,봉익동
51,11110153,종로구돈의동,종로구,돈의동
52,11110154,종로구장사동,종로구,장사동
53,11110155,종로구관수동,종로구,관수동
54,11110156,종로구종로3가,종로구,종로3가
55,11110157,종로구인의동,종로구,인의동
56,11110158,종로구예지동,종로구,예지동
57,11110159,종로구원남동,종로구,원남동
58,11110160,종로구연지동,종로구,연지동
59,11110161,종로구종로4가,종로구,종로4가
60,11110162,종로구효제동,종로구,효제동
61,11110163,종로구종로5가,종로구,종로5가
62,11110164,종로구종로6가,종로구,종로6가
63,11110165,종로구이화동,종로구,이화동
64,11110166,종로구연건동,종로구,연건동
65,11110167,종로구충신동,종로구,충신동
66,11110168,종로구동숭동,종로구,동숭동
67,11110169,종로구혜화동,종로구,혜화동
68,11110170,종로구명륜1가,종로구,명륜1가
69,11110171,종로구명륜2가,종로구,명륜2가
70,11110172,종로구명륜4가,종로구,명륜4가
71,11110173,종로구명륜3가,종로구,명륜3가
72,11110174,종로구창신동,종로구,창신동
73,11110175,종로구숭인동,종로구,숭인동
74,11110176,종로구교남동,종로구,교남동
75,11110177,종로구평동,종로구,평동
76,11110178,종로구송월동,종로구,송월동
77,11110179,종로구홍파동,종로구,홍파동
78,11110180,종로구교북동,종로구,교북동
79,11110181,종로구행촌동,종로구,행촌동
80,11110182,종로구구기동,종로구,구기동
81,11110183,종로구평창동,종로구,평창동
82,11110184,종로구부암동,종로구,부암동
83,11110185,종로구홍지동,종로구,홍지동
84,11110186,종로구신영동,종로구,신영동
85,11110187,종로구무악동,종로구,무악동
86,11140101,중구무교동,중구,무교동
87,11140102,중구다동,중구,다동
88,11140103,중구태평로1가,중구,태평로1가
89,11140104,중구을지로1가,중구,을지로1가
90,11140105,중구을지로2가,중구,을지로2가
91,11140106,중구남대문로1가,중구,남대문로1가
92,11140107,중구삼각동,중구,삼각동
93,11140108,중구수하동,중구,수하동
94,11140109,중구장교동,중구,장교동
95,11140110,중구수표동,중구,수표동
96,11140111,중구소공동,중구,소공동
97,11140112,중구남창동,중구,남창동
98,11140113,중구북창동,중구,북창동
99,11140114,중구태평로2가,중구,태평로2가
100,11140115,중구남대문로2가,중구,남대문로2가
101,11140116,중구남대문로3가,중구,남대문로3가
102,11140117,중구남대문로4가,중구,남대문로4가
103,11140118,중구남대문로5가,중구,남대문로5가
104,11140119,중구봉래동1가,중구,봉래동1가
