,구분,법정동코드,자치구,동,합계,점수
0,버스,11680103.0,강남구,개포동,75,20
1,버스,11680108.0,강남구,논현동,44,20
2,버스,11680106.0,강남구,대치동,68,40
3,버스,11680118.0,강남구,도곡동,39,40
4,버스,11680105.0,강남구,삼성동,58,40
5,버스,11680111.0,강남구,세곡동,34,20
6,버스,11680115.0,강남구,수서동,27,20
7,버스,11680107.0,강남구,신사동,23,20
8,버스,11680110.0,강남구,압구정동,13,10
9,버스,11680101.0,강남구,역삼동,77,50
10,버스,11680113.0,강남구,율현동,11,10
11,버스,11680114.0,강남구,일원동,41,20
12,버스,11680112.0,강남구,자곡동,18,10
13,버스,11680104.0,강남구,청담동,24,20
14,버스,11740110.0,강동구,강일동,52,50
15,버스,11740102.0,강동구,고덕동,36,20
16,버스,11740105.0,강동구,길동,38,50
17,버스,11740106.0,강동구,둔촌동,37,20
18,버스,11740101.0,강동구,명일동,38,50
19,버스,11740103.0,강동구,상일동,57,40
20,버스,11740108.0,강동구,성내동,60,70
21,버스,11740107.0,강동구,암사동,32,10
22,버스,11740109.0,강동구,천호동,55,40
23,버스,11305101.0,강북구,미아동,156,80
24,버스,11305102.0,강북구,번동,100,80
25,버스,11305103.0,강북구,수유동,146,40
26,버스,11305104.0,강북구,우이동,19,10
27,버스,11500104.0,강서구,가양동,39,20
28,버스,11500110.0,강서구,개화동,9,10
29,버스,11500108.0,강서구,공항동,40,20
30,버스,11500111.0,강서구,과해동,2,10
31,버스,11500106.0,강서구,내발산동,47,60
32,버스,11500102.0,강서구,등촌동,78,70
33,버스,11500105.0,강서구,마곡동,80,20
34,버스,11500109.0,강서구,방화동,71,20
35,버스,11500101.0,강서구,염창동,35,40
36,버스,11500112.0,강서구,오곡동,2,10
37,버스,11500113.0,강서구,오쇠동,2,10
38,버스,11500107.0,강서구,외발산동,24,40
39,버스,11500103.0,강서구,화곡동,189,70
40,버스,11620103.0,관악구,남현동,8,10
41,버스,11620101.0,관악구,봉천동,209,60
42,버스,11620102.0,관악구,신림동,273,20
43,버스,11215104.0,광진구,광장동,35,20
44,버스,11215103.0,광진구,구의동,56,40
45,버스,11215109.0,광진구,군자동,24,70
46,버스,11215102.0,광진구,능동,9,10
47,버스,11215105.0,광진구,자양동,58,20
48,버스,11215101.0,광진구,중곡동,87,50
49,버스,11215107.0,광진구,화양동,19,20
50,버스,11530103.0,구로구,가리봉동,10,50
51,버스,11530107.0,구로구,개봉동,95,70
52,버스,11530106.0,구로구,고척동,69,70
53,버스,11530102.0,구로구,구로동,154,70
54,버스,11530109.0,구로구,궁동,28,20
55,버스,11530101.0,구로구,신도림동,42,60
56,버스,11530108.0,구로구,오류동,50,50
57,버스,11530110.0,구로구,온수동,15,40
58,버스,11530111.0,구로구,천왕동,26,20
59,버스,11530112.0,구로구,항동,30,50
60,버스,11545101.0,금천구,가산동,119,90
61,버스,11545102.0,금천구,독산동,111,60
62,버스,11545103.0,금천구,시흥동,138,50
63,버스,11350103.0,노원구,공릉동,108,20
64,버스,11350105.0,노원구,상계동,192,20
65,버스,11350102.0,노원구,월계동,113,60
66,버스,11350106.0,노원구,중계동,77,20
67,버스,11350104.0,노원구,하계동,53,60
68,버스,11320108.0,도봉구,도봉동,82,10
69,버스,11320106.0,도봉구,방학동,78,40
70,버스,11320105.0,도봉구,쌍문동,92,70
71,버스,11320107.0,도봉구,창동,121,60
72,버스,11230105.0,동대문구,답십리동,45,60
73,버스,11230101.0,동대문구,신설동,9,60
74,버스,11230102.0,동대문구,용두동,29,50
75,버스,11230110.0,동대문구,이문동,37,50
76,버스,11230106.0,동대문구,장안동,60,60
77,버스,11230104.0,동대문구,전농동,44,50
78,버스,11230103.0,동대문구,제기동,27,50
79,버스,11230107.0,동대문구,청량리동,25,50
80,버스,11230108.0,동대문구,회기동,8,20
81,버스,11230109.0,동대문구,휘경동,32,40
82,버스,11590101.0,동작구,노량진동,38,60
83,버스,11590108.0,동작구,대방동,50,70
84,버스,11590106.0,동작구,동작동,12,10
85,버스,11590104.0,동작구,본동,22,70
86,버스,11590107.0,동작구,사당동,81,60
87,버스,11590103.0,동작구,상도1동,17,90
88,버스,11590102.0,동작구,상도동,133,80
89,버스,11590109.0,동작구,신대방동,44,60
90,버스,11590105.0,동작구,흑석동,49,70
91,버스,11440102.0,마포구,공덕동,22,70
92,버스,11440113.0,마포구,구수동,5,100
93,버스,11440110.0,마포구,노고산동,16,90
94,버스,11440118.0,마포구,당인동,1,10
95,버스,11440108.0,마포구,대흥동,23,80
96,버스,11440104.0,마포구,도화동,38,100
97,버스,11440121.0,마포구,동교동,16,80
98,버스,11440107.0,마포구,마포동,2,20
99,버스,11440123.0,마포구,망원동,54,70
100,버스,11440115.0,마포구,상수동,18,70
101,버스,11440127.0,마포구,상암동,93,20
102,버스,11440120.0,마포구,서교동,53,90
103,버스,11440125.0,마포구,성산동,59,50
104,버스,11440103.0,마포구,신공덕동,8,70
105,버스,11440111.0,마포구,신수동,22,80
106,버스,11440117.0,마포구,신정동,1,10
107,버스,11440101.0,마포구,아현동,20,60
108,버스,11440124.0,마포구,연남동,22,80
109,버스,11440109.0,마포구,염리동,14,60
110,버스,11440105.0,마포구,용강동,9,70
111,버스,11440126.0,마포구,중동,8,50
112,버스,11440114.0,마포구,창전동,38,100
113,버스,11440116.0,마포구,하중동,2,50
114,버스,11440122.0,마포구,합정동,27,20
115,버스,11440112.0,마포구,현석동,1,10
116,버스,11410120.0,서대문구,남가좌동,41,70
117,버스,11410105.0,서대문구,냉천동,8,100
118,버스,11410113.0,서대문구,대신동,11,80
119,버스,11410112.0,서대문구,대현동,10,50
120,버스,11410104.0,서대문구,미근동,3,80
121,버스,11410115.0,서대문구,봉원동,2,10
122,버스,11410119.0,서대문구,북가좌동,48,80
123,버스,11410110.0,서대문구,북아현동,27,60
124,버스,11410114.0,서대문구,신촌동,3,10
125,버스,11410117.0,서대문구,연희동,58,40
126,버스,11410108.0,서대문구,영천동,8,100
127,버스,11410107.0,서대문구,옥천동,1,40
128,버스,11410116.0,서대문구,창천동,20,70
129,버스,11410106.0,서대문구,천연동,6,80
130,버스,11410101.0,서대문구,충정로2가,11,100
131,버스,11410102.0,서대문구,충정로3가,18,100
132,버스,11410109.0,서대문구,현저동,13,60
133,버스,11410118.0,서대문구,홍은동,96,60
134,버스,11410111.0,서대문구,홍제동,78,60
135,버스,11650109.0,서초구,내곡동,26,10
136,버스,11650107.0,서초구,반포동,78,20
137,버스,11650101.0,서초구,방배동,159,50
138,버스,11650108.0,서초구,서초동,193,70
139,버스,11650111.0,서초구,신원동,23,10
140,버스,11650102.0,서초구,양재동,84,40
141,버스,11650110.0,서초구,염곡동,13,10
142,버스,11650103.0,서초구,우면동,39,20
143,버스,11650104.0,서초구,원지동,8,10
144,버스,11650106.0,서초구,잠원동,37,20
145,버스,11200109.0,성동구,금호동1가,39,100
