,구분,법정동코드,자치구,동,합계,점수
0,지하철,11680103,강남구,개포동,3,20
1,지하철,11680108,강남구,논현동,5,70
2,지하철,11680106,강남구,대치동,5,60
3,지하철,11680118,강남구,도곡동,4,80
4,지하철,11680105,강남구,삼성동,5,70
5,지하철,11680115,강남구,수서동,2,40
6,지하철,11680107,강남구,신사동,2,60
7,지하철,11680101,강남구,역삼동,3,40
8,지하철,11680114,강남구,일원동,2,20
9,지하철,11740105,강동구,길동,1,20
10,지하철,11740106,강동구,둔촌동,1,20
11,지하철,11740101,강동구,명일동,2,60
12,지하철,11740103,강동구,상일동,1,10
13,지하철,11740108,강동구,성내동,4,80
14,지하철,11740107,강동구,암사동,1,10
15,지하철,11740109,강동구,천호동,1,10
16,지하철,11305101,강북구,미아동,5,50
17,지하철,11305102,강북구,번동,1,20
18,지하철,11305103,강북구,수유동,2,10
19,지하철,11305104,강북구,우이동,3,10
20,지하철,11500104,강서구,가양동,1,20
21,지하철,11500110,강서구,개화동,1,10
22,지하철,11500108,강서구,공항동,2,40
23,지하철,11500106,강서구,내발산동,2,60
24,지하철,11500102,강서구,등촌동,2,40
25,지하철,11500105,강서구,마곡동,3,20
26,지하철,11500109,강서구,방화동,7,60
27,지하철,11500103,강서구,화곡동,3,20
28,지하철,11620101,관악구,봉천동,3,20
29,지하철,11620102,관악구,신림동,2,10
30,지하철,11215104,광진구,광장동,1,20
31,지하철,11215103,광진구,구의동,2,20
32,지하철,11215102,광진구,능동,3,80
33,지하철,11215105,광진구,자양동,2,20
34,지하철,11215101,광진구,중곡동,1,10
35,지하철,11215107,광진구,화양동,2,70
36,지하철,11530107,구로구,개봉동,1,10
37,지하철,11530102,구로구,구로동,4,40
38,지하철,11530101,구로구,신도림동,3,80
39,지하철,11530108,구로구,오류동,1,20
40,지하철,11530110,구로구,온수동,2,80
41,지하철,11530111,구로구,천왕동,1,20
42,지하철,11545101,금천구,가산동,3,60
43,지하철,11545103,금천구,시흥동,1,10
44,지하철,11350103,노원구,공릉동,4,20
45,지하철,11350105,노원구,상계동,6,20
46,지하철,11350102,노원구,월계동,4,50
47,지하철,11350106,노원구,중계동,1,10
48,지하철,11350104,노원구,하계동,1,20
49,지하철,11320108,도봉구,도봉동,3,10
50,지하철,11320106,도봉구,방학동,1,10
51,지하철,11320107,도봉구,창동,3,40
52,지하철,11230101,동대문구,신설동,3,90
53,지하철,11230102,동대문구,용두동,2,70
54,지하철,11230110,동대문구,이문동,2,50
55,지하철,11230104,동대문구,전농동,4,80
56,지하철,11230103,동대문구,제기동,1,40
57,지하철,11230109,동대문구,휘경동,3,70
58,지하철,11590101,동작구,노량진동,2,60
59,지하철,11590108,동작구,대방동,2,60
60,지하철,11590106,동작구,동작동,2,50
61,지하철,11590104,동작구,본동,1,60
62,지하철,11590107,동작구,사당동,3,50
63,지하철,11590103,동작구,상도1동,1,80
64,지하철,11590102,동작구,상도동,2,20
65,지하철,11590105,동작구,흑석동,1,20
66,지하철,11440102,마포구,공덕동,4,90
67,지하철,11440110,마포구,노고산동,1,80
68,지하철,11440108,마포구,대흥동,2,90
69,지하철,11440104,마포구,도화동,1,70
70,지하철,11440121,마포구,동교동,3,90
71,지하철,11440115,마포구,상수동,1,70
72,지하철,11440127,마포구,상암동,3,20
73,지하철,11440120,마포구,서교동,1,40
74,지하철,11440125,마포구,성산동,2,40
